speaker_id,audio,sentence,gender,gender_domain
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-133712_bem_798_elicit_25.wav,ifyakulya ubushiku bafimwena kumalushi,F,0
17,/scratch/skscla001/experiments/datasets/bemgen/audio/17-200915-120130_bem_346_elicit_22.wav,shalenipo kalasi,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-091537_bem_798_elicit_30.wav,yatile nkondo ishipwafye cabwela caisha no mwana,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-201001-105646_bem_798_elicit_12.wav,awe cilia batila ukulumbula cimbwi ekumwita twaumfwafye pulata uupita nga mumwakwe ati oti ufuma cilutungu,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-141341_bem_798_elicit_0.wav,ifi shikumana fiwa,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-201002-063230_bem_798_elicit_12.wav,naani babepeshe ukwipaya kolala joni melodi,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-003654_bem_798_elicit_22.wav,umushobo wa aaba bantu afikileko ni ba maindeo,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-201001-100406_bem_798_elicit_39.wav,bonse pamushi pacaani taba ishibe insala emukutila lyonse baleeba abaikuta mulusuba namainsa kumo,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200925-003120_bem_798_elicit_45.wav,lelo kuti twabateyanya lesa alefwaya ukuti tubomfye ifyabupe fyesu ifyabumupashi kukwafwilisha abantu ukuti babe abakalamba,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-120506_bem_798_elicit_34.wav,ukulingana nokupenda kwa kwa lesa ubu ebushiku bwakutendekelapo umulungu,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200920-120041_bem_798_elicit_15.wav,umuntu kuti ayambula ubu bulwele ukupitila,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-013752_bem_798_elicit_24.wav,atampa no kumushimikila ifyo bamwebele ku ofeshi,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-201007-022920_bem_798_elicit_28.wav,elyo nokulomba ukuti apo icaalo cakwe cilecula ku bubi bwa bantu nasha pa bafumu,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-143443_bem_798_elicit_21.wav,ngacakuti iwe nangu umuntu umbi untu waishiba ali mu cuupo,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-122608_bem_798_elicit_25.wav,tapali nangu umo nomba uwakuba no mwenso nangu amone icili shani,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200920-120041_bem_798_elicit_10.wav,umutwe ubukali,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200921-214144_bem_798_elicit_20.wav,ba mpandamano bakomfwa kuli fintu mulelanda ukwasuka amepusho yenu elyo nokumituma kumbi uko mwingasanga ubwafwilisho mu ncende yenu,F,0
3,/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-204525_bem_798_elicit_32.wav,kabili limbi ishiwi ni metoche ililondola ngo kwaka na ifintu nangu ukuibimbamo mu fintu ifilecitika,F,0
