audio	sentence
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201001-174927_bem_fb0_elicit_24.wav	janet kale fye natuleeya
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200916-015847_bem_798_elicit_27.wav	ilyo umuntu aleenda mu mpanga nangu mu mushi afwile ukwenda na kamuti muminwe nangu inkonto
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201004-205737_bem_fb0_elicit_12.wav	ulucelo umuntunse alungama na kuli bamfubu abasanga ati shikulu namutasha sana pa mulimo uyu mwabomba
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-122837_bem_d31_elicit_42.wav	bushe iwe nawishiba ukuti icinecine nalakuma pali ifi ulecita
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201002-011519_bem_fb0_elicit_27.wav	joni aisafwituka ne cipyu mu nganda mwa banalume abwelela na kumwakwe
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200918-112337_bem_d31_elicit_29.wav	finshi abantu batontonkenye pali loti mulupwa lwakwe na mubekalamushi
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201012-184652_bem_fb0_elicit_39.wav	fyonse ifi nga fyapwa ninshi nomba kuteya
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-044203_bem_d31_elicit_22.wav	elyo inshiku ishi shimbi twakonkeshepo pakumfwikisha ifishinka fya mu cipingo ifyo fyalembwa mu nkalata yakwa yohane
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200918-101707_bem_d31_elicit_31.wav	aba bible society baprintile cipingo cipya kale mu two thousand and three
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200914-194432_bem_d31_elicit_24.wav	nala bwela icungulo insage impiya shandi
/scratch/skscla001/experiments/datasets/bemgen/audio/01-180101-223427_bem_d31_elicit_35.wav	panuma ya kubatamfya baendele inshiku shitatu ukuya pa mushi umbi
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201006-011410_bem_798_elicit_32.wav	shamitombo ena batangishanya na anatole balaya na ku ng'anda
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-091537_bem_798_elicit_34.wav	panuma elyo babika mu kapapa ka mbushi iyo bepeye
/scratch/skscla001/experiments/datasets/bemgen/audio/03-201004-122608_bem_798_elicit_3.wav	ifyo finc basakamuka bonse bakalabana bafumina na panse abati tumone icatulungama
/scratch/skscla001/experiments/datasets/bemgen/audio/01-200914-200932_bem_d31_elicit_23.wav	caabipa ico cintu mwe
/scratch/skscla001/experiments/datasets/bemgen/audio/01-201012-184652_bem_fb0_elicit_6.wav	pantu umushili tauba bwino
/scratch/skscla001/experiments/datasets/bemgen/audio/03-200924-181036_bem_798_elicit_21.wav	nangula cingaba cakuti uli umwaice nga fintu dabidi ali abantu kuti batemwa ukumfwa kuli iwe ukucila kuli munonko umukalamba
